32610
[sudo] password for yarikov: 2018-07-17 17:28:43 [INFO    ] Host: stapel.red-soft.ru
2018-07-17 17:41:12 [DEBUG   ] Package set: worker threads stopped (SRPMs)
2018-07-17 17:41:12 [DEBUG   ] Package set: spawning 10 worker threads (RPMs)
2018-07-17 17:41:13 [DEBUG   ] Processed 100 out of 13833 packages
2018-07-17 17:41:14 [DEBUG   ] Processed 200 out of 13833 packages
2018-07-17 17:41:14 [DEBUG   ] Processed 300 out of 13833 packages
2018-07-17 17:41:14 [DEBUG   ] Processed 400 out of 13833 packages
2018-07-17 17:41:15 [DEBUG   ] Processed 500 out of 13833 packages
2018-07-17 17:41:15 [DEBUG   ] Processed 600 out of 13833 packages
2018-07-17 17:41:16 [DEBUG   ] Processed 700 out of 13833 packages
2018-07-17 17:41:16 [DEBUG   ] Processed 800 out of 13833 packages
2018-07-17 17:41:17 [DEBUG   ] Processed 900 out of 13833 packages
2018-07-17 17:41:17 [DEBUG   ] Processed 1000 out of 13833 packages
2018-07-17 17:41:18 [DEBUG   ] Processed 1100 out of 13833 packages
2018-07-17 17:41:18 [DEBUG   ] Processed 1200 out of 13833 packages
2018-07-17 17:41:20 [DEBUG   ] Processed 1300 out of 13833 packages
2018-07-17 17:41:20 [DEBUG   ] Processed 1400 out of 13833 packages
2018-07-17 17:41:21 [DEBUG   ] Processed 1500 out of 13833 packages
2018-07-17 17:41:21 [DEBUG   ] Processed 1600 out of 13833 packages
2018-07-17 17:41:22 [DEBUG   ] Processed 1700 out of 13833 packages
2018-07-17 17:41:23 [DEBUG   ] Processed 1800 out of 13833 packages
2018-07-17 17:41:23 [DEBUG   ] Processed 1900 out of 13833 packages
2018-07-17 17:41:24 [DEBUG   ] Processed 2000 out of 13833 packages
2018-07-17 17:41:24 [DEBUG   ] Processed 2100 out of 13833 packages
2018-07-17 17:41:25 [DEBUG   ] Processed 2200 out of 13833 packages
2018-07-17 17:41:26 [DEBUG   ] Processed 2300 out of 13833 packages
2018-07-17 17:41:27 [DEBUG   ] Processed 2400 out of 13833 packages
2018-07-17 17:41:27 [DEBUG   ] Processed 2500 out of 13833 packages
2018-07-17 17:41:28 [DEBUG   ] Processed 2600 out of 13833 packages
2018-07-17 17:41:29 [DEBUG   ] Processed 2700 out of 13833 packages
2018-07-17 17:41:30 [DEBUG   ] Processed 2800 out of 13833 packages
2018-07-17 17:41:31 [DEBUG   ] Processed 2900 out of 13833 packages
2018-07-17 17:41:32 [DEBUG   ] Processed 3000 out of 13833 packages
2018-07-17 17:41:33 [DEBUG   ] Processed 3100 out of 13833 packages
2018-07-17 17:41:34 [DEBUG   ] Processed 3200 out of 13833 packages
2018-07-17 17:41:34 [DEBUG   ] Processed 3300 out of 13833 packages
2018-07-17 17:41:35 [DEBUG   ] Processed 3400 out of 13833 packages
2018-07-17 17:41:36 [DEBUG   ] Processed 3500 out of 13833 packages
2018-07-17 17:41:36 [DEBUG   ] Processed 3600 out of 13833 packages
2018-07-17 17:41:37 [DEBUG   ] Processed 3700 out of 13833 packages
2018-07-17 17:41:37 [DEBUG   ] Processed 3800 out of 13833 packages
2018-07-17 17:41:37 [DEBUG   ] Processed 3900 out of 13833 packages
2018-07-17 17:41:38 [DEBUG   ] Processed 4000 out of 13833 packages
2018-07-17 17:41:38 [DEBUG   ] Processed 4100 out of 13833 packages
2018-07-17 17:41:39 [DEBUG   ] Processed 4200 out of 13833 packages
2018-07-17 17:41:39 [DEBUG   ] Processed 4300 out of 13833 packages
2018-07-17 17:41:40 [DEBUG   ] Processed 4400 out of 13833 packages
2018-07-17 17:41:40 [DEBUG   ] Processed 4500 out of 13833 packages
